fit,term,coef,or,or_lo,or_hi,p,in_family,q
A_full,Intercept,0.9506190334192064,2.5873107955346115,2.161969175216595,3.096333300875714,3.2535467428996225e-25,False,
A_full,"C(hours_band, Treatment(reference=""126-149""))[T.0]",-1.4542386847532212,0.23357812281349236,0.21878685524136923,0.24936936634920237,0.0,True,0.0
A_full,"C(hours_band, Treatment(reference=""126-149""))[T.1-25]",-0.9894822283978025,0.3717691326968133,0.33242160854825115,0.41577407867599314,2.5208818623287624e-67,True,2.646925955445201e-66
A_full,"C(hours_band, Treatment(reference=""126-149""))[T.26-75]",-0.48044573469123264,0.6185076400426833,0.5248473853197362,0.7288817882899801,9.766045636224058e-09,True,2.9298136908672176e-08
A_full,"C(hours_band, Treatment(reference=""126-149""))[T.76-125]",-0.188497049643181,0.8282029469292495,0.7647637999545345,0.89690453620199,3.5523711409777483e-06,True,9.32497424506659e-06
A_full,"C(hours_band, Treatment(reference=""126-149""))[T.150 (cap)]",0.24426597446913553,1.2766838506450358,1.1496896597129793,1.4177057614876236,4.8915547385197985e-06,True,1.1413627723212864e-05
A_full,C(Year)[T.2023],0.178338169972749,1.1952294436082973,1.1052865419542615,1.2924914659164617,7.900682757507864e-06,True,1.6591433790766516e-05
A_full,C(Year)[T.2024],0.27417740288483744,1.3154481458361242,1.2100493547434596,1.4300274758218907,1.2395377628055788e-10,True,5.206058603783431e-10
A_full,C(borough)[T.Brooklyn],0.11401269712289777,1.1207663553019631,0.9673887109906806,1.2984617340536104,0.12891099171412107,True,0.1691956766247839
A_full,C(borough)[T.Manhattan],0.05479317853305037,1.0563221219909429,0.8846035917868171,1.2613745137000887,0.5449531300622212,True,0.6023166174371919
A_full,C(borough)[T.Queens],-0.038252748673867056,0.9624696472194463,0.8153640512776413,1.136115604271708,0.6512613757047334,True,0.6838244444899702
A_full,C(borough)[T.Staten Island],-0.07324525419536437,0.9293728694774978,0.7721834202193277,1.118560574993318,0.43846746272833304,True,0.5416362774879409
A_full,"C(race, Treatment(reference=""Black or African American""))[T.Asian]",0.012220055018065707,1.0122950249580864,0.9268645838283143,1.105599712659545,0.7858905500941638,True,0.7858905500941638
A_full,"C(race, Treatment(reference=""Black or African American""))[T.Hispanic]",-1.4220826073057418,0.24121114534328908,0.18707101063701798,0.31101995140613203,5.605903574561106e-28,True,2.9430993766445807e-27
A_full,"C(race, Treatment(reference=""Black or African American""))[T.Other]",-0.2742807136403884,0.7601186696304686,0.6980182612348006,0.8277439488455427,2.836536707308104e-10,True,9.927878475578365e-10
A_full,"C(race, Treatment(reference=""Black or African American""))[T.White or Caucasian]",0.1837679438712021,1.2017369203194408,0.9765926290357305,1.478786120969193,0.08253054049246146,True,0.11554275668944604
A_full,"C(gender, Treatment(reference=""Female""))[T.Male]",-0.15718675678621835,0.8545444519387903,0.7671064380516958,0.9519490179147156,0.004315846015970433,True,0.007552730527948259
A_full,"bs(age_on_start, df=3)[0]",-0.678420592241213,0.5074177793922211,0.3684328158955589,0.6988324376521325,3.263431985114651e-05,True,6.230188335218879e-05
A_full,"bs(age_on_start, df=3)[1]",-0.265008237445492,0.7671996301846912,0.6016524663853022,0.9782977805971238,0.0326072647452503,True,0.048910897117875454
A_full,"bs(age_on_start, df=3)[2]",-0.7133132549807942,0.490017950448155,0.43392932605035983,0.5533564508003397,1.3036172804642421e-30,True,9.125320963249695e-30
A_full,is_no_show,0.041752235595156624,1.0426361186284638,0.9283516230013592,1.170989578662089,0.48089317151215993,True,0.5610420334308532
A_full,worksite_matched,-0.10615311997622927,0.899286938738485,0.8204720647723697,0.9856728009502732,0.023309195616003583,True,0.03765331599508271
A_person_clustered,Intercept,0.9506190334192064,2.5873107955346115,2.336391684936637,2.8651776137747604,1.5884451164438472e-74,False,
A_person_clustered,"C(hours_band, Treatment(reference=""126-149""))[T.0]",-1.4542386847532212,0.23357812281349236,0.223320881876204,0.24430648400949392,0.0,True,0.0
A_person_clustered,"C(hours_band, Treatment(reference=""126-149""))[T.1-25]",-0.9894822283978025,0.3717691326968133,0.3411019567447927,0.40519347747262874,2.2790699445152276e-112,True,2.393023441740989e-111
A_person_clustered,"C(hours_band, Treatment(reference=""126-149""))[T.26-75]",-0.48044573469123264,0.6185076400426833,0.5828856164518569,0.6563066406061612,9.507394097163401e-57,True,3.9931055208086287e-56
A_person_clustered,"C(hours_band, Treatment(reference=""126-149""))[T.76-125]",-0.188497049643181,0.8282029469292495,0.7971746496028351,0.8604389535518087,3.838155975139777e-22,True,6.7167729564946095e-22
A_person_clustered,"C(hours_band, Treatment(reference=""126-149""))[T.150 (cap)]",0.24426597446913553,1.2766838506450358,1.2340544918225353,1.320785804272433,3.9529797099356344e-45,True,1.1858939129806905e-44
A_person_clustered,C(Year)[T.2023],0.178338169972749,1.1952294436082973,1.1565017420435093,1.2352540172952504,2.626373339029612e-26,True,5.515384011962186e-26
A_person_clustered,C(Year)[T.2024],0.27417740288483744,1.3154481458361242,1.272709932897666,1.3596215285630466,1.6143784604433023e-59,True,8.475486917327337e-59
A_person_clustered,C(borough)[T.Brooklyn],0.11401269712289777,1.1207663553019631,1.0805539009093226,1.162475302823655,9.613848339293338e-10,True,1.4420772508940007e-09
A_person_clustered,C(borough)[T.Manhattan],0.05479317853305037,1.0563221219909429,1.0012308648231645,1.1144446946354594,0.04496564183162362,True,0.055545792850829175
A_person_clustered,C(borough)[T.Queens],-0.038252748673867056,0.9624696472194463,0.9229391256750288,1.0036933054942312,0.07382745747152951,True,0.08159876878432208
A_person_clustered,C(borough)[T.Staten Island],-0.07324525419536437,0.9293728694774978,0.8611177167893749,1.0030381603820877,0.059833626402380644,True,0.06980589746944409
A_person_clustered,"C(race, Treatment(reference=""Black or African American""))[T.Asian]",0.012220055018065707,1.0122950249580864,0.9746290898960023,1.0514166139492491,0.5276201200972154,True,0.5276201200972154
A_person_clustered,"C(race, Treatment(reference=""Black or African American""))[T.Hispanic]",-1.4220826073057418,0.24121114534328908,0.17655215691589615,0.32955030204211994,4.1906052730521665e-19,True,6.769439287238115e-19
A_person_clustered,"C(race, Treatment(reference=""Black or African American""))[T.Other]",-0.2742807136403884,0.7601186696304686,0.73285535769616,0.7883962174161245,4.965570507162102e-49,True,1.7379496775067357e-48
A_person_clustered,"C(race, Treatment(reference=""Black or African American""))[T.White or Caucasian]",0.1837679438712021,1.2017369203194408,1.1593710395932535,1.2456509403284028,1.0637333530980823e-23,True,2.030763674096339e-23
A_person_clustered,"C(gender, Treatment(reference=""Female""))[T.Male]",-0.15718675678621835,0.8545444519387903,0.8325383110123691,0.8771322720889395,3.519809262554786e-32,True,8.2128882792945e-32
A_person_clustered,"bs(age_on_start, df=3)[0]",-0.678420592241213,0.5074177793922211,0.46147449765116677,0.5579350628340878,1.3499714385207756e-44,True,3.543675026117036e-44
A_person_clustered,"bs(age_on_start, df=3)[1]",-0.265008237445492,0.7671996301846912,0.6950220115611521,0.8468728511683098,1.4645275640693306e-07,True,2.050338589697063e-07
A_person_clustered,"bs(age_on_start, df=3)[2]",-0.7133132549807942,0.490017950448155,0.45847474056684706,0.5237313433331898,5.099957730366278e-98,True,3.5699704112563947e-97
A_person_clustered,is_no_show,0.041752235595156624,1.0426361186284638,0.9789201040336551,1.1104992852728806,0.19437311061595586,True,0.20409176614675367
A_person_clustered,worksite_matched,-0.10615311997622927,0.899286938738485,0.8242050223901101,0.9812085296937881,0.017012563650133105,True,0.0223289897907997
A_survey_subsample,Intercept,1.0248395498081446,2.7866483064384258,0.3494353610173728,22.2227331577644,0.33332991477197793,False,
A_survey_subsample,"C(hours_band, Treatment(reference=""126-149""))[T.0]",-1.3907627503708861,0.2488853947867914,0.12218059889201678,0.5069867090185329,0.00012753745739493093,True,0.0008927622017645165
A_survey_subsample,"C(hours_band, Treatment(reference=""126-149""))[T.1-25]",-0.8567616193970049,0.4245346634676017,0.2136863699719038,0.8434308679081732,0.014440351911325465,True,0.05054123168963913
A_survey_subsample,"C(hours_band, Treatment(reference=""126-149""))[T.26-75]",-0.6104766721075343,0.5430919305898869,0.3584511991307419,0.822842400268469,0.003979412612359251,True,0.016713532971908855
A_survey_subsample,"C(hours_band, Treatment(reference=""126-149""))[T.76-125]",-0.16676472877421938,0.8463987211784925,0.7084970140506511,1.011141587057376,0.0660837074711884,True,0.18243509079048006
A_survey_subsample,"C(hours_band, Treatment(reference=""126-149""))[T.150 (cap)]",0.038808329292567584,1.0395712092041363,0.9184586227809636,1.1766543121277662,0.5391686954202426,True,0.7745813740608957
A_survey_subsample,C(Year)[T.2023],-0.037854763244137286,0.9628527723496495,0.812012856982479,1.1417127860100003,0.6632353519912642,True,0.8192907289303851
A_survey_subsample,C(Year)[T.2024],0.021201851693158708,1.0214282078435324,0.8802351050450299,1.1852692284126498,0.7799942985956371,True,0.8618900711317741
A_survey_subsample,C(borough)[T.Brooklyn],0.07105203716558955,1.0736370934459643,0.848877137604084,1.3579074725425289,0.5532724100434969,True,0.7745813740608957
A_survey_subsample,C(borough)[T.Manhattan],-0.0018468292406846668,0.9981548750990679,0.7464435928803765,1.3347467433399254,0.9900613958503195,True,0.9900613958503195
A_survey_subsample,C(borough)[T.Queens],-0.030653352250876807,0.969811697856346,0.7438188405312885,1.264467472519534,0.8208476867921657,True,0.8618900711317741
A_survey_subsample,C(borough)[T.Staten Island],-0.1993724245845978,0.8192447296331032,0.5805213624319553,1.1561364843146238,0.25661268295626694,True,0.5394027629934497
A_survey_subsample,"C(race, Treatment(reference=""Black or African American""))[T.Asian]",-0.08578484118943824,0.9177916809442808,0.7736244131641059,1.0888249585679064,0.3251575063869442,True,0.6207552394659843
A_survey_subsample,"C(race, Treatment(reference=""Black or African American""))[T.Hispanic]",-1.0488262712972274,0.3503487222297624,0.11289225173917379,1.0872688362316962,0.06949908220589716,True,0.18243509079048006
A_survey_subsample,"C(race, Treatment(reference=""Black or African American""))[T.Other]",-0.30575960681648634,0.7365636630590331,0.6208437638201614,0.8738527490405674,0.0004544396066256446,True,0.002385807934784634
A_survey_subsample,"C(race, Treatment(reference=""Black or African American""))[T.White or Caucasian]",0.09281806853669412,1.0972620906100354,0.7442955519012747,1.617615599628903,0.6392820070032782,True,0.8192907289303851
A_survey_subsample,"C(gender, Treatment(reference=""Female""))[T.Male]",-0.07974988955525024,0.9233472563018734,0.8044429792823415,1.0598267095087226,0.25685845856830936,True,0.5394027629934497
A_survey_subsample,"bs(age_on_start, df=3)[0]",-1.4084085243969722,0.2445321405786969,0.16515929043445035,0.3620502826011586,2.005752432414198e-12,True,4.2120801080698166e-11
A_survey_subsample,"bs(age_on_start, df=3)[1]",0.20985892236630097,1.2335040278516056,0.6356329972774541,2.393727501943995,0.5349992737600522,True,0.7745813740608957
A_survey_subsample,"bs(age_on_start, df=3)[2]",-1.1125752612460351,0.32871135252961103,0.2210973144427257,0.48870405121920363,3.82880107771083e-08,True,4.0202411315963716e-07
A_survey_subsample,is_no_show,0.39253366470183737,1.4807277126989358,0.5536621725053921,3.9600945631395272,0.4341717585517997,True,0.7598005774656494
A_survey_subsample,worksite_matched,0.33587643607343204,1.3991661276685698,0.18857196087574252,10.381532035428341,0.7425556061589469,True,0.8618900711317741
B_survey,Intercept,0.29063563833218153,1.337277242604723,0.13626040533069617,13.12421182990293,0.8030344863603873,False,
B_survey,"C(hours_band, Treatment(reference=""126-149""))[T.0]",-1.2220441438907959,0.2946272903750529,0.14191872594105615,0.6116545907394845,0.0010417799186888898,False,
B_survey,"C(hours_band, Treatment(reference=""126-149""))[T.1-25]",-0.6805257584006584,0.5063507042336822,0.24140718887192997,1.062068768026478,0.07176136015355015,False,
B_survey,"C(hours_band, Treatment(reference=""126-149""))[T.26-75]",-0.552572021029135,0.575467790046165,0.38097164108470616,0.8692593927404311,0.008645285487719175,False,
B_survey,"C(hours_band, Treatment(reference=""126-149""))[T.76-125]",-0.13391906442600343,0.8746608529168322,0.7328760477578119,1.0438758504466974,0.1377836428665771,False,
B_survey,"C(hours_band, Treatment(reference=""126-149""))[T.150 (cap)]",0.026925822117550752,1.027291597621787,0.9116992553928625,1.1575396385396512,0.6584183368679644,False,
B_survey,C(Year)[T.2023],-0.0441449057249482,0.956815299412513,0.8016068462602207,1.1420754718612587,0.6249485518729297,False,
B_survey,C(Year)[T.2024],-0.0017558795599361416,0.9982456610947118,0.8422785583303651,1.1830936333815174,0.9838382304488634,False,
B_survey,C(borough)[T.Brooklyn],0.06982394809711276,1.0723193807678746,0.8475454698749771,1.356704619682549,0.560721870785242,False,
B_survey,C(borough)[T.Manhattan],0.009217064185743026,1.009259672127948,0.7674670941618533,1.3272296539257185,0.9474090779470673,False,
B_survey,C(borough)[T.Queens],-0.02161597077632311,0.9786159800331553,0.7528875819842017,1.2720215597822793,0.8716472107354851,False,
B_survey,C(borough)[T.Staten Island],-0.22962973551340785,0.7948278445500737,0.5577191269688146,1.1327409657001795,0.20394085527327555,False,
B_survey,"C(race, Treatment(reference=""Black or African American""))[T.Asian]",-0.06552631776926827,0.9365743978863714,0.7874680181279454,1.1139139401007383,0.4589199584773377,False,
B_survey,"C(race, Treatment(reference=""Black or African American""))[T.Hispanic]",-1.1125573660553216,0.32871723493458743,0.10975038124364807,0.98455257575057,0.04683614723556823,False,
B_survey,"C(race, Treatment(reference=""Black or African American""))[T.Other]",-0.3182918846455181,0.7273904433242644,0.6148928027623812,0.8604700765117488,0.00020482036214872898,False,
B_survey,"C(race, Treatment(reference=""Black or African American""))[T.White or Caucasian]",0.08244502503770398,1.0859389723439785,0.762313349452194,1.5469536936522583,0.647908310544917,False,
B_survey,"C(gender, Treatment(reference=""Female""))[T.Male]",-0.09996218731490604,0.904871633015185,0.7903623051699404,1.0359713094610634,0.14760564867747233,False,
B_survey,"bs(age_on_start, df=3)[0]",-1.4180163949237203,0.24219395789729536,0.16183815056175155,0.3624479953481374,5.4245689804350266e-12,False,
B_survey,"bs(age_on_start, df=3)[1]",0.25998917534202864,1.2969160479171533,0.6708467354488816,2.507266036287085,0.4395179663092421,False,
B_survey,"bs(age_on_start, df=3)[2]",-1.0668551415104683,0.3440889286464525,0.22611679395651932,0.523610779833675,6.346527552375932e-07,False,
B_survey,is_no_show,0.3203921273167424,1.3776678796410593,0.5122916971438499,3.7048595500889974,0.5255726542128596,False,
B_survey,worksite_matched,0.1821784392027011,1.1998282711794965,0.15327873196549743,9.391961049401337,0.862236865977899,False,
B_survey,cf_paid_alternative,-0.06825935231648221,0.93401820237735,0.8179100363346425,1.066608751106318,0.3135255415969157,True,0.6793053401266507
