fit,n,llf,pseudo_r2,aic,converged
A_full,114625,-70964.46698294659,0.07828621179036743,141972.93396589317,True
A_person_clustered,114625,-70964.46698294659,0.07828621179036743,141972.93396589317,True
A_survey_subsample,4785,-2837.3496891785794,0.026887777097906906,5718.699378357159,True
B_survey,4785,-2819.5259982729985,0.03300068293520986,5709.051996545997,True
