age_group,expect_first_choice,n,prob,lo,hi
16-17,0,2965,0.6977036913763267,0.6573387200967312,0.7323657555631599
16-17,1,2965,0.7488944873985469,0.725350066050988,0.7677115547502542
18-20,0,1310,0.6112761644565163,0.5535514549509658,0.6676804236229456
18-20,1,1310,0.6598544242215185,0.6219899731866719,0.6946884545993453
21-23,0,510,0.5467982314443457,0.4774761032557264,0.6179229678790943
21-23,1,510,0.6525796665367937,0.5991183330776603,0.7010103653886091
