age_group,from,to,n,diff_pp,lo_pp,hi_pp
16-17,0,126-149,48988,34.55061546714357,33.06930438463688,35.93092014855608
18-20,0,126-149,47241,34.17507285814692,32.22621748171919,35.89973774783628
21-23,0,126-149,18396,33.05247191227275,30.328340195145625,35.64316597121617
