hours_band,n,k,rate,ci_low,ci_high,rate_pct,ci_low_pct,ci_high_pct
0,23210,7243,0.312063765618268,0.3061343454707272,0.3180553879510774,31.206376561826797,30.61343454707272,31.80553879510774
1-25,3451,1326,0.3842364532019704,0.36814476164452753,0.4005855905661208,38.42364532019704,36.814476164452756,40.05855905661208
26-75,6241,3401,0.5449447203973722,0.5325659973062336,0.5572681467655711,54.49447203973722,53.25659973062336,55.72681467655711
76-125,20559,12667,0.616129189162897,0.6094601939761282,0.6227547932754394,61.61291891628971,60.946019397612815,62.275479327543934
126-149,38902,25514,0.6558531695028533,0.6511168655364785,0.660558695287272,65.58531695028533,65.11168655364786,66.0558695287272
150 (cap),38054,27314,0.7177694854680191,0.7132254718540255,0.7222695353037109,71.7769485468019,71.32254718540256,72.22695353037109
