group_a,group_b,gap_a_pp,gap_b_pp,did_pp,lo_pp,hi_pp,p_boot,separates
16-17,18-20,5.119079602222021,4.8578259765002185,0.26125362572180233,-7.5759585860203495,8.843898317293014,0.94,False
16-17,21-23,5.119079602222021,10.578143509244796,-5.4590639070227756,-13.427893577611155,3.285922646098645,0.205,False
18-20,21-23,4.8578259765002185,10.578143509244796,-5.720317532744578,-16.188431915961377,4.769126813417509,0.265,False
