frame,rows,unique_participants,year_min,year_max,mean_age,median_age,mean_hours,median_hours,return_rate,no_show_rate,worksite_matched_rate
Administrative frame (A),130417,97761,2022,2024,18.313440732419853,18.0,106.47988375748561,139.0,0.5939793125129392,0.049809457356019535,0.856705797557067
Survey frame (B),5844,5844,2022,2024,17.678131416837783,17.0,132.8770106091718,144.5,0.6964407939767283,0.004962354551676934,0.8177618069815195
