age_group,from,to,n,diff_pp,lo_pp,hi_pp
16-17,0,1,2965,5.119079602222021,0.9254043330336732,9.219377323288041
18-20,0,1,1310,4.8578259765002185,-1.9045252193358044,11.440375874206103
21-23,0,1,510,10.578143509244796,2.9690368206300786,17.84471220632609
